wyElementId;wyElementName;wyElementClub;bestId;bestName;bestLevenshteinDist;
-10231;Spvg Solingen-Wald 03;Solingen;22009;Spvg. Solingen-Wald 03;1;
-10198;GSV 1895 Under  15;GSV 1895 U15;41033;SV Rott U19;6;
-9631;SC Borgfeld Under 19;SC Borgfeld U19;45980;SC Borgfeld U19;0;
-9163;1. FC Markkleeberg;Markkleeberg;12778;FC Cleeberg;5;
-9078;SV Voran Brögbern III;Voran Brögbern III;48467;SV Voran Brögbern;4;
-9077;ASV Altenlingen III;Altenlingen III;49277;ASV Altenlingen II;1;
-9022;Tennis Borussia Berlin U19;Tennis Borussia U19;4677;Tennis Borussia Berlin U19;0;
-9021;Offenburger FV Under 19;Offenburger FV U19;11825;Offenburger FV U19;0;
-9020;SG 99 Andernach Under 19;Andernach U19;53234;SG 99 Andernach U19;5;
-9019;TuS Komet Arsten Under 19;Komet Arsten U19;24583;TuS Komet Arsten U19;4;
-8943;FC Forstern;Forstern;2308;FC Norden;4;
-8942;Hannoverscher Sportverein 1896;Hannover 96;42;Hannover 96;0;
-8940;TUS Schwachhausen;Schwachhausen;18328;TuS Schwachhausen;1;
-8906;Hertha BSC Under 23;Hertha BSC Under 23;2827;Hertha BSC U19;7;
-8905;FC Bayern München Under 23;Bayern München U23;23112;FC Bayern München U16;5;
-8904;VfL Wolfsburg Under 23;VfL Wolfsburg U23;5343;VfL Wolfsburg U19;2;
-8885;SV Rödinghausen Under 19;SV Rödinghausen U19;41214;SV Rödinghausen U19;0;
-8878;V Wehen Wiesbaden Under 17;Wehen Wiesbaden U17;23793;SV Wehen Wiesbaden U17;3;
-8877;FC Ingolstadt Under 17;FC Ingolstadt U17;4795;FC Ingolstadt 04;3;
-8876;SC Borgfeld U17;SC Borgfeld U17;55689;SC Borgfeld U17;0;
-8875;Chemnitzer FC U17;Chemnitzer FC U17;35237;Chemnitzer FC U17;0;
-8833;SC Olching;Olching;1873;SC Olching;0;
-8822;SV Hohenlimburg 1910;SV Hohenlimburg 1910;4240;SV Hohenlimburg 10;2;
-8819;Vohwinkel Wuppertal;Vohwinkel Wuppertal;2912;SV Bayer Wuppertal;8;
-8818;SG Lenglern;SG Lenglern;27141;SG Lenglern;0;
-8817;Bovender SV;Bovender SV;19298;Bovender SV;0;
-8776;Budelsdorfer TSV;Budelsdorfer TSV;4755;Büdelsdorfer TSV;1;
-8775;TSV 1877 Ebersberg;TSV 1877 Ebersberg;4801;TSV Ebersberg;5;
-8751;Germany Under 16;Germany U16;17368;Germany U16;0;
-8748;Rhein-Nahe-Auswahl;Rhein-Nahe-Auswahl;35006;HBRS-Hessenauswahl;11;
-8742;Sv 07 Nauheim;Sv 07 Nauheim;21315;SV 07 Nauheim;1;
-8741;TV Bad Grönenbach;Bad Grönenbach;41427;TV Bad Grönenbach;0;
-8708;SE Freising;SE Freising;9144;SE Freising;0;
-8110;VFB Günnigfeld;VFB Günnigfeld;4072;VfB Günnigfeld;1;
-8018;Hamburger SV U16 II;Hamburger SV U16 II;40271;Hamburger SV U16;3;
-7515;SV Schwarz-Gelb Bernburg;SV Schwarz-Gelb Bernburg;49437;SV Schwarz-Gelb Bernburg;0;
-7369;1. FC Heidenheim Under 17;1. FC Heidenheim U17;2036;1.FC Heidenheim 1846;5;
-7368;SG Unterrath U17;SG Unterrath U17;32710;SG Unterrath U17;0;
-7367;Alemannia Aachen U17;Alemannia Aachen U17;21052;Alemannia Aachen U17;0;
-7366;Eimsbütteler TV U17;Eimsbütteler TV U17;39873;Eimsbütteler TV U17;0;
-7297;FSV Luckenwalde;FSV Luckenwalde;5761;FSV 63 Luckenwalde;3;
-7282;SV Blau-Weiß 50 Baabe;SV Blau-Weiß 50 Baabe;7284;SV Blau-Weiß 21 Jarmen;6;
-7248;SV Stahl Thale;SV Stahl Thale;21196;SV Stahl Thale;0;
-7163;SV Schott Jena U19;SV Schott Jena U19;20213;SV Schott Jena U19;0;
-6770;Union Gampern;Union Gampern;6264;Union Meppen;4;
-6769;USC Attergau;USC Attergau;46310;SV Atter;5;
-6768;SV Wackersberg-Arzbach;SV Wackersberg-Arzbach;5536;SV Wackersberg;8;
-6767;SC Reichersbeuern;SC Reichersbeuern;4874;SC Kellersberg;7;
-6686;Kickers Offenbach U17;Kickers Offenbach U17;21069;Kickers Offenbach U17;0;
-6685;SV Sandhausen U17;SV Sandhausen U17;46105;SV Sandhausen U17;0;
-6684;Niendorfer TSV Under U17;Niendorfer TSV U17;35046;Niendorfer TSV U17;0;
-6683;FC Hansa Rostock U17;Hansa Rostock U17;21065;FC Hansa Rostock U17;0;
-6682;Hombrucher SV U17;Hombrucher SV U17;54732;Hombrucher SV U17;0;
-6681;1. FC Mönchengladbach Under 17;1. FC M'gladbach U17;39231;1.FC Mönchengladbach U17;6;
-6611;TV Welle Under 18;TV Welle U18;67472;TV Welle II;3;
-6602;Concordia Eschersheim Under 18;Concordia Eschersheim U18;23528;Concordia Schneeberg U19;9;
-6599;Frisia 03 SV Under 18;Frisia 03 SV U18;34276;Frisia Loga II;8;
-6582;BSV Kickers Emden Under 18;BSV Kickers Emden U18;10045;Kickers Emden U19;5;
-6579;VFL Westercelle Under 18;VFL Westercelle U18;26725;VfL Westercelle U19;2;
-6563;JVF Hanse Lübeck Under 18;JVF Hanse Lübeck U18;38366;JFV Hanse Lübeck U19;3;
-6556;SG Heusenstamm Zrinski;SG Heusenstamm Zrinski;37095;SG Heusenstamm;8;
-6555;DJK Kahl;DJK Kahl;24304;DJK Hain;3;
-6506;FSV 90 Altentreptow;FSV 90 Altentreptow;36108;FSV Altentreptow;3;
-6491;ESV Neuaubing Sports United;ESV Neuaubing Sports United;34481;KSV Vatan Sport II;15;
-6488;SV Rot-Weiß Trinwillershagen;SV Rot-Weiß Trinwillershagen;48154;Rot-Weiss Trinwillershagen;5;
-5188;SV Elversberg U17;SV Elversberg U17;36449;SV 07 Elversberg U17;3;
-5187;SV Stuttgarter Kickers Under 17;Stuttgarter Kickers U17;26561;Stuttgarter Kickers U17;0;
-5186;FC Augsburg U17;FC Augsburg U17;29176;FC Augsburg U17;0;
-5185;FC Hennef 05 U17;FC Hennef 05 U17;48776;FC Hennef 05 U17;0;
-5184;Sportfreunde Siegen U17;Sportfreunde Siegen U17;37146;Sportfreunde Siegen U17;0;
-5183;SC Rot-Weiß Oberhausen Under 17;Rot-Weiß Oberhausen U17;36077;Rot-Weiß Oberhausen U17;0;
-5182;SG Dynamo Dresden U17;Dynamo Dresden U17;22724;Dynamo Dresden U17;0;
-5181;FC Union Berlin U17;FC Union Berlin U17;21099;1.FC Union Berlin U17;2;
-5180;VfL Osnabrück U17;VfL Osnabrück U17;21086;VfL Osnabrück U17;0;
-4858;SV Lützel;SV Lützel;35948;TSV Nützen;3;
-4806;1. FC Union Berlin U16;Union Berlin U16;7802;1.FC Union Berlin U19;2;
-4803;TuS Ergenzingen;TuS Ergenzingen;5007;TuS Ergenzingen;0;
-4459;TSG 1899 Hoffenheim U20;Hoffenheim U20;8925;TSG 1899 Hoffenheim U19;2;
-4276;1. FC Saarbrücken U17;1. FC Saarbrücken U17;2596;1.FC Saarbrücken U19;2;
-4275;SSV Ulm 1846 U17;SSV Ulm 1846 U17;21078;SSV Ulm 1846 U17;0;
-4274;SpVgg Unterhaching U17;SpVgg Unterhaching U17;33034;SpVgg Unterhaching U17;0;
-4273;1. FC Nürnberg U17;1. FC Nürnberg U17;21049;1.FC Nürnberg U17;1;
-4272;1. FSV Mainz 05 U17;1. FSV Mainz 05 U17;21051;1.FSV Mainz 05 U17;1;
-4270;TSV 1860 München U17;TSV 1860 München U17;21083;TSV 1860 München U17;0;
-4269;1. FC Kaiserslautern U17;Kaiserslautern U17;21047;1.FC Kaiserslautern U17;1;
-4268;SpVgg Greuther Fürth U17;SpVgg Greuther Fürth U17;21077;SpVgg Greuther Fürth U17;0;
-4267;Karlsruher SC U17;Karlsruher SC U17;21068;Karlsruher SC U17;0;
-4266;VfB Stuttgart U17;VfB Stuttgart U17;21084;VfB Stuttgart U17;0;
-4265;TSG 1899 Hoffenheim U17;TSG 1899 Hoffenheim U17;21082;TSG 1899 Hoffenheim U17;0;
-4264;FC Viktoria Köln U17;FC Viktoria Köln U17;34088;FC Viktoria Köln U17;0;
-4263;Euskirchener TSC U17;Euskirchener TSC U17;42297;Ludwigshafener SC U17;8;
-4262;VfL Borussia Mönchengladbach U17;VfL Borussia Mönchengladbach U17;21056;Borussia Mönchengladbach U17;4;
-4261;Rot-Weiss Essen U17;Rot-Weiss Essen U17;21073;Rot-Weiss Essen U17;0;
-4260;SC Paderborn 07 U17;SC Paderborn 07 U17;32312;SC Paderborn 07 U17;0;
-4259;SC Preußen Münster U17;SC Preußen Münster U17;21071;Preußen Münster U17;3;
-4258;MSV Duisburg U17;MSV Duisburg U17;21070;MSV Duisburg U17;0;
