"id","name","countryName"
"RLSW","Regionalliga Südwest","Germany"
"L3","3.Liga","Germany"
"L2","2.Bundesliga","Germany"
"L1","Bundesliga","Germany"
"IT1","Serie A","Italy"
"TR2","1.Lig","Turkey"
"EGY1","Premier League","Egypt"
"RLW3","Regionalliga West","Germany"
"GRP2","G' Ethniki Play-off","Greece"
"GB1","Premier League","England"
"ES1","LaLiga","Spain"
"A1","Bundesliga","Austria"
"IT2","Serie B","Italy"
"TR1","Süper Lig","Turkey"
"RLN4","Regionalliga Nordost","Germany"
"GB2","Championship","England"
"C1","Super League","Switzerland"
"RLB3","Regionalliga Bayern","Germany"
"OLW3","Oberliga Westfalen","Germany"
"FR1","Ligue 1","France"
"SC1","Premiership","Scotland"
"GR2","Football League","Greece"
"IRN3","League 2","Iran"
"BE1","Jupiler Pro League","Belgium"
"C2","Challenge League","Switzerland"
"TS1","Fortuna Liga","Czech Republic"
"OBLB","Oberliga Baden-Württemberg","Germany"
"OLB2","Bayernliga Süd","Germany"
"NO1","Eliteserien","Norway"
"MAZ1","Prva liga","North Macedonia"
"RLN3","Regionalliga Nord","Germany"
"UNG1","NB I.","Hungary"
"PL2L","2 Liga","Poland"
"OBLF","NOFV-Oberliga Nord","Germany"
"OLRP","Oberliga Rheinland-Pfalz/Saar","Germany"
"VLBA","VL Nordbaden","Germany"
"VLSB","VL Südbaden","Germany"
"OBLK","Bremenliga","Germany"
"ISR1","Ligat ha'Al","Israel"
"TR4C","3.Lig Grup 3","Turkey"
"RU1","Premier Liga","Russia"
"GR1","Super League","Greece"
"NL1","Eredivisie","Netherlands"
"NL2","Keuken Kampioen Divisie","Netherlands"
"LNWE","LL Weser-Ems","Germany"
"ES2","LaLiga2","Spain"
"KR1","1.HNL","Croatia"
"TR3A","2.Lig Beyaz","Turkey"
"BU1","Parva Liga","Bulgaria"
"SER1","SuperLiga","Serbia"
"UAE1","UAE Gulf League","United Arab Emirates"
"FR1","Ligue 1","Monaco"
"C2","Challenge League","Liechtenstein"
"PL1","Ekstraklasa","Poland"
"ES3D","2ª B - Grupo IV","Spain"
"TDeA","Liga 1","Peru"
"AR1N","Primera División","Argentina"
"DKMR","Superligaen Championship round","Denmark"
"BRA1","Série A","Brazil"
"UN2","NB II.","Hungary"
"LLM1","LL Mittelr. 1","Germany"
"SK2","II. Liga","Slovakia"
"VLBE","Berlin-Liga","Germany"
"MLS1","MLS","United States"
"KR2","2.HNL","Croatia"
"OLB1","Bayernliga Nord","Germany"
"TUN1","Ligue I Pro","Tunisia"
"GE1N","Crystalbet Erovnuli Liga","Georgia"
"PL2","1 Liga","Poland"
"CIR5","2. Liga Inter - Gr. 5","Switzerland"
"ISR2","Liga Leumit","Israel"
"A2","2. Liga","Austria"
"NO2","OBOS-ligaen","Norway"
"BU2","Vtora Liga","Bulgaria"
"SE1","Allsvenskan","Sweden"
"BOS1","Premijer Liga","Bosnia-Herzegovina"
"GB3","League One","England"
"FR2","Ligue 2","France"
"PO1","Liga NOS","Portugal"
"OBLJ","Oberliga Hamburg","Germany"
"RO1","Liga 1","Romania"
"LBSO","LL Bayern-S/O","Germany"
"LBNO","LL Bayern-N/O","Germany"
"A4ST","LL Steiermark","Austria"
"BRA2","Série B","Brazil"
"RSK1","K League 1","Korea, South"
"ATRM","RL Mitte","Austria"
"CHPR","Promotion League","Switzerland"
"LLSA","Saarlandliga","Germany"
"MAL1","Premier League","Malta"
"IT4I","Serie D - I","Italy"
"UKR1","Premier Liga","Ukraine"
"GB4","League Two","England"
"BE2","Proximus League","Belgium"
"SLO1","Fortuna Liga","Slovakia"
"DK2","NordicBet LIGA","Denmark"
"OBLC","Hessenliga","Germany"
"LIB1","Premier League","Lebanon"
"OBLG","NOFV-Oberliga Süd","Germany"
"OLNI","Oberliga Niederrhein","Germany"
"A4K","Kärntner Liga","Austria"
"ZYP1","First Division","Cyprus"
"VLBW","VL Württemberg","Germany"
"RHL","Rheinlandliga","Germany"
"DKAR","Superligaen Abstiegsr.","Denmark"
"DKDA","2.Division Kvalifikationsspil","Denmark"
"OBLN","OL Niedersachsen","Germany"
"PL34","3 Liga - Group IV","Poland"
"VZ1A","Torneo Apertura","Venezuela"
"ATRW","RL West","Austria"
"BRBL","Brandenburgliga","Germany"
"SFA1","ABSA Premiership","South Africa"
"JAP2","J2 League","Japan"
"JAP1","J1 League","Japan"
"LI1","A Lyga","Lithuania"
"GB1","Premier League","Wales"
"BOS2","Prva liga FBIH","Bosnia-Herzegovina"
"ES3B","2ª B - Grupo II","Spain"
"QSL","Stars League","Qatar"
"LNR1","LL Niederrhein-Gr. 1","Germany"
"ATRO","RL Ost","Austria"
"SE2","Superettan","Sweden"
"SL1","Prva Liga","Slovenia"
"WER1","Vysheyshaya Liga","Belarus"
"LLHM","Landesliga Hammonia","Germany"
"CHC3","1. Liga gr. 3","Switzerland"
"LNBR","LL Braunschweig","Germany"
"SER2","Prva liga","Serbia"
"LLHO","LL Holstein","Germany"
"TS2","FNL","Czech Republic"
"LUX1","BGL Ligue","Luxembourg"
"URU1","Primera División","Uruguay"
"AUS1","A-League","Australia"
"SLI","Sachsenliga","Germany"
"VLW1","Westfalenliga 1","Germany"
"OBLL","Oberliga Schleswig-Holstein","Germany"
"LLL","LL Lüneburg","Germany"
"LBNW","LL Bayern-N/W","Germany"
"IR1","League of Ireland","Northern Ireland"
"VLHM","VL Hessen-Mitte","Germany"
