id,name,club,countryName
1,1.FC Saarbrücken,1.FC Saarbrücken,Germany
2,1.FC Kaiserslautern,1.FC Kaiserslautern,Germany
3,1. FC Köln,1. FC Köln,Germany
4,1.FC Nuremberg,1.FC Nuremberg,Germany
5,AC Milan,AC Milan,Italy
6,Adanaspor,Adanaspor,Turkey
7,El Ahly Cairo,El Ahly Cairo,Egypt
8,Alemannia Aachen,Alemannia Aachen,Germany
9,PS Kalamata,PS Kalamata,Greece
10,Arminia Bielefeld,Arminia Bielefeld,Germany
11,Arsenal FC,Arsenal FC,England
12,AS Roma,AS Roma,Italy
13,Atlético Madrid,Atlético Madrid,Spain
14,Austria Vienna,Austria Vienna,Austria
15,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Germany
16,Borussia Dortmund,Borussia Dortmund,Germany
17,Borussia Dortmund II,Borussia Dortmund II,Germany
18,Borussia Mönchengladbach,Borussia Mönchengladbach,Germany
19,Brescia Calcio,Brescia Calcio,Italy
20,Bursaspor,Bursaspor,Turkey
21,Chemnitzer FC,Chemnitzer FC,Germany
22,Derby County,Derby County,England
23,Eintracht Braunschweig,Eintracht Braunschweig,Germany
24,Eintracht Frankfurt,Eintracht Frankfurt,Germany
25,FC Energie Cottbus,FC Energie Cottbus,Germany
26,FC Basel 1893,FC Basel 1893,Switzerland
27,Bayern Munich,Bayern Munich,Germany
28,FC Bayern Munich II,FC Bayern Munich II,Germany
29,Everton FC,Everton FC,England
30,FC Hansa Rostock,FC Hansa Rostock,Germany
31,Liverpool FC,Liverpool FC,England
32,,,
33,FC Schalke 04,FC Schalke 04,Germany
34,FC Schalke 04 II,FC Schalke 04 II,Germany
35,FC St. Pauli,FC St. Pauli,Germany
36,Fenerbahce SK,Fenerbahce SK,Turkey
37,FK Obilic,FK Obilic,Serbia
38,Fortuna Düsseldorf,Fortuna Düsseldorf,Germany
39,1.FSV Mainz 05,1.FSV Mainz 05,Germany
40,FC Girondins Bordeaux,FC Girondins Bordeaux,France
41,Hamburger SV,Hamburger SV,Germany
42,Hannover 96,Hannover 96,Germany
43,Heart of Midlothian FC,Heart of Midlothian FC,Scotland
44,Hertha BSC,Hertha BSC,Germany
45,Hertha BSC II,Hertha BSC II,Germany
46,Inter Milan,Inter Milan,Italy
47,Iraklis Thessaloniki,Iraklis Thessaloniki,Greece
48,Karlsruher SC,Karlsruher SC,Germany
49,,,
50,Rot Weiss Ahlen,Rot Weiss Ahlen,Germany
51,Lüneburger SK (liq.),Lüneburger SK (liq.),Germany
52,MSV Duisburg,MSV Duisburg,Germany
53,OFK Beograd,OFK Beograd,Serbia
54,PAS Hamedan,PAS Hamedan,Iran
55,,,
56,Rot-Weiss Essen,Rot-Weiss Essen,Germany
57,Rot-Weiß Oberhausen,Rot-Weiß Oberhausen,Germany
58,RSC Anderlecht,RSC Anderlecht,Belgium
59,SC Campomaiorense,SC Campomaiorense,Portugal
60,SC Freiburg,SC Freiburg,Germany
61,Servette FC,Servette FC,Switzerland
62,SK Slavia Prag,SK Slavia Prag,Czech Republic
63,Sportfreunde Siegen,Sportfreunde Siegen,Germany
64,SV 07 Elversberg,SV 07 Elversberg,Germany
65,SpVgg Greuther Fürth,SpVgg Greuther Fürth,Germany
66,SpVgg Unterhaching,SpVgg Unterhaching,Germany
67,SpVgg Unterhaching II,SpVgg Unterhaching II,Germany
68,SSV Reutlingen 05,SSV Reutlingen 05,Germany
69,SSV Ulm 1846,SSV Ulm 1846,Germany
70,,,
71,Stuttgarter Kickers,Stuttgarter Kickers,Germany
72,TSV 1860 Munich,TSV 1860 Munich,Germany
73,TSV 1860 München II,TSV 1860 München II,Germany
74,TSV Schwabmünchen,TSV Schwabmünchen,Germany
75,Unknown,Unknown,
76,Vålerenga Fotball,Vålerenga Fotball,Norway
77,Vardar Skopje,Vardar Skopje,North Macedonia
78,VfB Lübeck,VfB Lübeck,Germany
79,VfB Stuttgart,VfB Stuttgart,Germany
80,VfL Bochum,VfL Bochum,Germany
81,VfL Osnabrück,VfL Osnabrück,Germany
82,VfL Wolfsburg,VfL Wolfsburg,Germany
83,VfR Aalen,VfR Aalen,Germany
84,Debreceni VSC,Debreceni VSC,Hungary
85,SV Waldhof Mannheim,SV Waldhof Mannheim,Germany
86,SV Werder Bremen,SV Werder Bremen,Germany
87,SV Werder Bremen II,SV Werder Bremen II,Germany
88,Widzew Lodz,Widzew Lodz,Poland
89,1.FC Union Berlin,1.FC Union Berlin,Germany
90,SV Babelsberg 03,SV Babelsberg 03,Germany
91,Preußen Münster,Preußen Münster,Germany
92,SC Fortuna Köln,SC Fortuna Köln,Germany
93,SC Verl,SC Verl,Germany
94,FC Erzgebirge Aue,FC Erzgebirge Aue,Germany
95,KFC Uerdingen 05,KFC Uerdingen 05,Germany
96,SV Wilhelmshaven,SV Wilhelmshaven,Germany
97,SG Wattenscheid 09,SG Wattenscheid 09,Germany
98,Dresdner SC,Dresdner SC,Germany
99,FC Sachsen Leipzig,FC Sachsen Leipzig,Germany
100,,,
101,Tennis Borussia Berlin,Tennis Borussia Berlin,Germany
102,VfB Stuttgart II,VfB Stuttgart II,Germany
