"id","name","countryName"
-107,"Hassanal Bolkiah Trophy U21","Asia"
-352,"CECAFA - U17 Championship","Africa"
-334,"Ghana Has Talent 2017 Tournament","Africa"
-318,"WAFU Cup of Nations","Africa"
-84,"African Olympic Qualifiers","Africa"
-331,"UNCAF U16 Tournament","N/C America"
-135,"Cuadrangular Internacional Sub 20","South America"
-88,"Cuadrangular Copa Provincia U20","South America"
-376,"U20 Elite League","Europe"
-363,"UEFA Nations League","Europe"
-322,"UEFA Futsal Cup","Europe"
-306,"St George's Park U17 International Tournament","Europe"
-299,"U19 International Football Tournament","Europe"
-294,"Europe 2018 Qualification Futsal","Europe"
-206,"Future Talents Cup U17","Europe"
-205,"UEFA Women's Champions League","Europe"
-111,"4 Nations Halland","Europe"
-103,"Four Nations Tournament","Europe"
-89,"Baltic Cup Youth U17","Europe"
1093,"Premier League","Afghanistan"
48,"Superliga","Albania"
578,"1st Division","Albania"
672,"2nd Division","Albania"
205,"Ligue 1","Algeria"
207,"Ligue 2","Algeria"
1246,"U21 League 1","Algeria"
1247,"U21 League 2","Algeria"
885,"Division 1","American Samoa"
139,"1a Divisió","Andorra"
491,"2a Divisió","Andorra"
493,"Girabola","Angola"
583,"Premier Division","Antigua and Barbuda"
-67,"Reserva de Primera Division","Argentina"
87,"Superliga","Argentina"
88,"Prim B Nacional","Argentina"
454,"Torneo Federal A","Argentina"
471,"Prim B Metro","Argentina"
472,"Primera C","Argentina"
481,"Primera D","Argentina"
501,"Torneo Federal B","Argentina"
1255,"Reserve League","Argentina"
1430,"Copa Libertadores Play-off","Argentina"
143,"Premier League","Armenia"
542,"First League","Armenia"
589,"Division di Honor","Aruba"
42,"NSL","Australia"
283,"A-League","Australia"
318,"Victoria","Australia"
606,"New South Wales","Australia"
607,"South Australian","Australia"
608,"Queensland","Australia"
609,"Western Australia","Australia"
611,"Tasmania","Australia"
624,"Capital Territory","Australia"
625,"Northern NSW","Australia"
626,"Northern Territory","Australia"
721,"Brisbane","Australia"
1080,"National Youth League","Australia"
1111,"T-League (Victory League)","Australia"
1231,"National Premier Leagues","Australia"
1318,"Victoria Division One","Australia"
1332,"Brisbane Reserves Premier League","Australia"
1333,"NPL Youth League","Australia"
1334,"South Australia Reserves Premier League","Australia"
1427,"Brisbane Capital League 1","Australia"
1467,"State Leagues","Australia"
-361,"Play-off 1/2","Austria"
49,"Bundesliga","Austria"
50,"2. Liga","Austria"
553,"Regionalliga","Austria"
628,"Landesliga","Austria"
1089,"Jugendliga U18","Austria"
106,"Premyer Liqa","Azerbaijan"
581,"Birinci Dasta","Azerbaijan"
1187,"Reserve League","Azerbaijan"
1236,"U19 League","Azerbaijan"
587,"BFA Senior League","Bahamas"
-357,"Play-offs 1/2","Bahrain"
238,"Premier League","Bahrain"
1196,"Second Division","Bahrain"
537,"Premier League","Bangladesh"
524,"Premier League","Barbados"
66,"Premier League","Belarus"
263,"1. Division","Belarus"
804,"2. Division","Belarus"
1226,"Reserve League","Belarus"
24,"First Division A","Belgium"
52,"First Division B","Belgium"
133,"Second Amateur Division","Belgium"
428,"Prom / Rel","Belgium"
572,"Third Amateur Division","Belgium"
833,"Provincial","Belgium"
1188,"Reserve Pro League","Belgium"
1470,"First Amateur Division","Belgium"
691,"Premier League","Belize"
-29,"Championnat National","Benin"
870,"Championnat National","Benin"
538,"Premier League","Bermuda"
908,"Thimphu League","Bhutan"
1104,"National League","Bhutan"
69,"LFPB","Bolivia"
1082,"Nacional B","Bolivia"
64,"Premijer Liga","Bosnia and Herzegovina"
144,"1st League","Bosnia and Herzegovina"
855,"Premier League","Botswana"
-332,"Copa de Seleções Estaduais Sub-20","Brazil"
-330,"Supercopa Sub 20","Brazil"
-325,"Campeonato Brasileiro de Aspirantes U23","Brazil"
-217,"Paulista sub 15","Brazil"
-210,"Copa Federacao Gaucha U23","Brazil"
-209,"Paulista Sub 17","Brazil"
-207,"Copa Gaucha","Brazil"
-196,"Copa Eme U20","Brazil"
-195,"Copa Ouro U20","Brazil"
-149,"Copa Rio Sub 17","Brazil"
-109,"Paulista Sub 20","Brazil"
-91,"Campeonato Gaucho Sub20  ","Brazil"
-90,"Copa FGF (RS) Sub-17 ","Brazil"
-25,"Campeonato Juniores","Brazil"
-24,"Brasileirao U23","Brazil"
26,"Serie A","Brazil"
89,"Serie B","Brazil"
239,"Paulista A1","Brazil"
240,"Carioca 1","Brazil"
321,"Serie C","Brazil"
386,"Paranaense 1","Brazil"
387,"Mineiro 1","Brazil"
388,"Gaúcho 1","Brazil"
389,"Goiano 1","Brazil"
390,"Catarinense 1","Brazil"
391,"Matogrossense","Brazil"
392,"Pernambucano 1","Brazil"
393,"Brasiliense","Brazil"
394,"Baiano 1","Brazil"
395,"Cearense 1","Brazil"
396,"Paraense","Brazil"
397,"Potiguar","Brazil"
398,"Alagoano","Brazil"
399,"Paraibano","Brazil"
400,"Piauiense","Brazil"
401,"Sul-Matogrossense","Brazil"
402,"Sergipano","Brazil"
403,"Maranhense","Brazil"
405,"Amazonense","Brazil"
406,"Rondoniense","Brazil"
407,"Tocantinense","Brazil"
408,"Capixaba","Brazil"
409,"Acreano","Brazil"
410,"Amapaense","Brazil"
411,"Roraimense","Brazil"
593,"Paulista A2","Brazil"
594,"Mineiro 2","Brazil"
595,"Carioca 2","Brazil"
596,"Baiano 2","Brazil"
600,"Gaúcho 2","Brazil"
699,"Paulista A3","Brazil"
727,"Paranaense 2","Brazil"
736,"Serie D","Brazil"
778,"Cearense 2","Brazil"
817,"Copa do Nordeste","Brazil"
921,"Paulista Série B","Brazil"
