id,name,club,countryName
-10231,Spvg Solingen-Wald 03,Solingen,Germany
-10198,GSV 1895 Under  15,GSV 1895 U15,Germany
-9631,SC Borgfeld Under 19,SC Borgfeld U19,Germany
-9163,1. FC Markkleeberg,Markkleeberg,Germany
-9078,SV Voran Brögbern III,Voran Brögbern III,Germany
-9077,ASV Altenlingen III,Altenlingen III,Germany
-9022,Tennis Borussia Berlin U19,Tennis Borussia U19,Germany
-9021,Offenburger FV Under 19,Offenburger FV U19,Germany
-9020,SG 99 Andernach Under 19,Andernach U19,Germany
-9019,TuS Komet Arsten Under 19,Komet Arsten U19,Germany
-8943,FC Forstern,Forstern,Germany
-8942,Hannoverscher Sportverein 1896,Hannover 96,Germany
-8940,TUS Schwachhausen,Schwachhausen,Germany
-8906,Hertha BSC Under 23,Hertha BSC Under 23,Germany
-8905,FC Bayern München Under 23,Bayern München U23,Germany
-8904,VfL Wolfsburg Under 23,VfL Wolfsburg U23,Germany
-8885,SV Rödinghausen Under 19,SV Rödinghausen U19,Germany
-8878,V Wehen Wiesbaden Under 17,Wehen Wiesbaden U17,Germany
-8877,FC Ingolstadt Under 17,FC Ingolstadt U17,Germany
-8876,SC Borgfeld U17,SC Borgfeld U17,Germany
-8875,Chemnitzer FC U17,Chemnitzer FC U17,Germany
-8833,SC Olching,Olching,Germany
-8822,SV Hohenlimburg 1910,SV Hohenlimburg 1910,Germany
-8819,Vohwinkel Wuppertal,Vohwinkel Wuppertal,Germany
-8818,SG Lenglern,SG Lenglern,Germany
-8817,Bovender SV,Bovender SV,Germany
-8776,Budelsdorfer TSV,Budelsdorfer TSV,Germany
-8775,TSV 1877 Ebersberg,TSV 1877 Ebersberg,Germany
-8751,Germany Under 16,Germany U16,Germany
-8748,Rhein-Nahe-Auswahl,Rhein-Nahe-Auswahl,Germany
-8742,Sv 07 Nauheim,Sv 07 Nauheim,Germany
-8741,TV Bad Grönenbach,Bad Grönenbach,Germany
-8708,SE Freising,SE Freising,Germany
-8110,VFB Günnigfeld,VFB Günnigfeld,Germany
-8018,Hamburger SV U16 II,Hamburger SV U16 II,Germany
-7515,SV Schwarz-Gelb Bernburg,SV Schwarz-Gelb Bernburg,Germany
-7369,1. FC Heidenheim Under 17,1. FC Heidenheim U17,Germany
-7368,SG Unterrath U17,SG Unterrath U17,Germany
-7367,Alemannia Aachen U17,Alemannia Aachen U17,Germany
-7366,Eimsbütteler TV U17,Eimsbütteler TV U17,Germany
-7297,FSV Luckenwalde,FSV Luckenwalde,Germany
-7282,SV Blau-Weiß 50 Baabe,SV Blau-Weiß 50 Baabe,Germany
-7248,SV Stahl Thale,SV Stahl Thale,Germany
-7163,SV Schott Jena U19,SV Schott Jena U19,Germany
-6770,Union Gampern,Union Gampern,Germany
-6769,USC Attergau,USC Attergau,Germany
-6768,SV Wackersberg-Arzbach,SV Wackersberg-Arzbach,Germany
-6767,SC Reichersbeuern,SC Reichersbeuern,Germany
-6686,Kickers Offenbach U17,Kickers Offenbach U17,Germany
-6685,SV Sandhausen U17,SV Sandhausen U17,Germany
-6684,Niendorfer TSV Under U17,Niendorfer TSV U17,Germany
-6683,FC Hansa Rostock U17,Hansa Rostock U17,Germany
-6682,Hombrucher SV U17,Hombrucher SV U17,Germany
-6681,1. FC Mönchengladbach Under 17,1. FC M'gladbach U17,Germany
-6611,TV Welle Under 18,TV Welle U18,Germany
-6602,Concordia Eschersheim Under 18,Concordia Eschersheim U18,Germany
-6599,Frisia 03 SV Under 18,Frisia 03 SV U18,Germany
-6582,BSV Kickers Emden Under 18,BSV Kickers Emden U18,Germany
-6579,VFL Westercelle Under 18,VFL Westercelle U18,Germany
-6563,JVF Hanse Lübeck Under 18,JVF Hanse Lübeck U18,Germany
-6556,SG Heusenstamm Zrinski,SG Heusenstamm Zrinski,Germany
-6555,DJK Kahl,DJK Kahl,Germany
-6506,FSV 90 Altentreptow,FSV 90 Altentreptow,Germany
-6491,ESV Neuaubing Sports United,ESV Neuaubing Sports United,Germany
-6488,SV Rot-Weiß Trinwillershagen,SV Rot-Weiß Trinwillershagen,Germany
-5188,SV Elversberg U17,SV Elversberg U17,Germany
-5187,SV Stuttgarter Kickers Under 17,Stuttgarter Kickers U17,Germany
-5186,FC Augsburg U17,FC Augsburg U17,Germany
-5185,FC Hennef 05 U17,FC Hennef 05 U17,Germany
-5184,Sportfreunde Siegen U17,Sportfreunde Siegen U17,Germany
-5183,SC Rot-Weiß Oberhausen Under 17,Rot-Weiß Oberhausen U17,Germany
-5182,SG Dynamo Dresden U17,Dynamo Dresden U17,Germany
-5181,FC Union Berlin U17,FC Union Berlin U17,Germany
-5180,VfL Osnabrück U17,VfL Osnabrück U17,Germany
-4858,SV Lützel,SV Lützel,Germany
-4806,1. FC Union Berlin U16,Union Berlin U16,Germany
-4803,TuS Ergenzingen,TuS Ergenzingen,Germany
-4459,TSG 1899 Hoffenheim U20,Hoffenheim U20,Germany
-4276,1. FC Saarbrücken U17,1. FC Saarbrücken U17,Germany
-4275,SSV Ulm 1846 U17,SSV Ulm 1846 U17,Germany
-4274,SpVgg Unterhaching U17,SpVgg Unterhaching U17,Germany
-4273,1. FC Nürnberg U17,1. FC Nürnberg U17,Germany
-4272,1. FSV Mainz 05 U17,1. FSV Mainz 05 U17,Germany
-4270,TSV 1860 München U17,TSV 1860 München U17,Germany
-4269,1. FC Kaiserslautern U17,Kaiserslautern U17,Germany
-4268,SpVgg Greuther Fürth U17,SpVgg Greuther Fürth U17,Germany
-4267,Karlsruher SC U17,Karlsruher SC U17,Germany
-4266,VfB Stuttgart U17,VfB Stuttgart U17,Germany
-4265,TSG 1899 Hoffenheim U17,TSG 1899 Hoffenheim U17,Germany
-4264,FC Viktoria Köln U17,FC Viktoria Köln U17,Germany
-4263,Euskirchener TSC U17,Euskirchener TSC U17,Germany
-4262,VfL Borussia Mönchengladbach U17,VfL Borussia Mönchengladbach U17,Germany
-4261,Rot-Weiss Essen U17,Rot-Weiss Essen U17,Germany
-4260,SC Paderborn 07 U17,SC Paderborn 07 U17,Germany
-4259,SC Preußen Münster U17,SC Preußen Münster U17,Germany
-4258,MSV Duisburg U17,MSV Duisburg U17,Germany
-4257,Fortuna Düsseldorf Under 17,Fortuna Düsseldorf U17,Germany
-4256,VfL Bochum U17,VfL Bochum U17,Germany
-4255,DSC Arminia Bielefeld U17,DSC Arminia Bielefeld U17,Germany
-4254,Bayer 04 Leverkusen U17,Bayer 04 Leverkusen U17,Germany
-4253,1. FC Köln U17,1. FC Köln U17,Germany
-4252,BV Borussia Dortmund 09 Under 17,BV Borussia Dortmund 09 U17,Germany
-4251,Wandsbeker TSV Concordia U17,Wandsbeker TSV Concordia U17,Germany
-4250,SV Werder Bremen U17,SV Werder Bremen U17,Germany
-4249,FC St. Pauli U17,FC St. Pauli U17,Germany
-4248,Eintracht Braunschweig U17,Eintracht Braunschweig U17,Germany
-4247,Hertha BSC Berlin U17,Hertha BSC Berlin U17,Germany
-4246,Hannover 96 U17,Hannover 96 U17,Germany
-4245,RB Leipzig U17,RB Leipzig U17,Germany
-4244,FC Carl Zeiss Jena U17,FC Carl Zeiss Jena U17,Germany
-4243,Tennis Borussia Berlin U17,Tennis Borussia Berlin U17,Germany
-4242,1. FC Magdeburg U17,1. FC Magdeburg U17,Germany
-4241,FC Energie Cottbus U17,FC Energie Cottbus U17,Germany
-4240,Hamburger SV U17,Hamburger SV U17,Germany
-4239,Holstein Kiel U17,Holstein Kiel U17,Germany
-4215,VfL Wolfsburg U17,VfL Wolfsburg U17,Germany
-4147,Württemberg Amateur,Württemberg Amateur,Germany
-4145,Herforder SV Women,Herforder SV Women,Germany
-2676,Hamburger SV U23,Hamburger U23,Germany
-2624,Eintracht Frankfurt U16,Eintracht Frankfurt U16,Germany
-2198,Hertha BSC Berlin U14,Hertha BSC Berlin U14,Germany
-2173,Borussia Dortmund U15,Borussia Dortmund U15,Germany
-2146,Paulaner Traumelf,Paulaner Traumelf,Germany
-1913,FC Bayern München U17,FC Bayern München U17,Germany
-1480,Wehen U19,Wehen U19,Germany
-1479,SC Freiburg U17,SC Freiburg U17,Germany
-402,TuS 1906 Heeslingen,TuS 1906 Heeslingen,Germany
-401,TSV Germania Windeck,TSV Germania Windeck,Germany
-400,SV Wilhelmshaven,SV Wilhelmshaven,Germany
-397,Schwarz-Weiss Essen,Schwarz-Weiss Essen,Germany
-396,FC Schalke 04 U17,FC Schalke 04 U17,Germany
-395,SC Victoria Hamburg,SC Victoria Hamburg,Germany
-393,SC Pfullendorf,SC Pfullendorf,Germany
-391,Rot-Weiss Ahlen,Rot-Weiss Ahlen,Germany
-389,Preuben 06 Munste,Preuben 06 Munste,Germany
-387,Niederauerbach,Niederauerbach,Germany
-386,Neumunster 1910,Neumunster 1910,Germany
-383,FC Oberneuland,FC Oberneuland,Germany
-380,Berlin Ankaraspor Kulubu 07,Berlin Ankaraspor Kulubu 07,Germany
960,SV Werder Bremen,Werder Bremen,Germany
961,FC Bayern München,Bayern München,Germany
962,VfB Stuttgart 1893,Stuttgart,Germany
963,TSV Bayer 04 Leverkusen,Bayer Leverkusen,Germany
964,BV Borussia 09 Dortmund,Borussia Dortmund,Germany
965,VfL Bochum 1848,Bochum,Germany
966,FC Schalke 04,Schalke 04,Germany
967,Hamburger SV,Hamburger SV,Germany
968,VfL Wolfsburg,Wolfsburg,Germany
969,FC Hansa Rostock,Hansa Rostock,Germany
970,SC Freiburg,Freiburg,Germany
971,Borussia VfL Mönchengladbach,Borussia M'gladbach,Germany
972,Hannover 96,Hannover 96,Germany
973,1. FC Kaiserslautern,Kaiserslautern,Germany
974,Hertha BSC,Hertha BSC,Germany
975,1. FC Nürnberg,Nürnberg,Germany
976,DSC Arminia Bielefeld,Arminia Bielefeld,Germany
977,1. FSV Mainz 05,Mainz 05,Germany
978,TSV 1860 München,1860 München,Germany
979,Eintracht Frankfurt,Eintracht Frankfurt,Germany
980,1. FC Köln,Köln,Germany
981,FC Energie Cottbus,Energie Cottbus,Germany
982,TSV Alemannia Aachen,Alemannia Aachen,Germany
983,SC Rot-Weiß Oberhausen 1904,Rot-Weiß Oberhausen,Germany
984,MSV Duisburg,MSV Duisburg,Germany
985,FC Erzgebirge Aue,Erzgebirge Aue,Germany
986,SpVgg Greuther Fürth,Greuther Fürth,Germany
987,SV Eintracht Trier 05,Eintracht Trier,Germany
